masses     LO_data     LO_up     LO_down     NLO_data     NLO_up     NLO_down
8.96180e+02 7.45093e-03 6.65634e-03 8.19625e-03 8.32995e-03 6.44655e-03 1.05278e-02
2.34590e+03 1.89888e-06 1.62754e-06 2.28376e-06 2.02628e-06 1.59177e-06 2.63205e-06
2.20510e+03 4.03263e-06 3.43355e-06 4.66700e-06 4.28992e-06 3.43839e-06 5.51132e-06
8.53330e+02 9.80718e-03 9.00584e-03 1.06233e-02 1.12859e-02 9.13560e-03 1.39515e-02
1.14950e+03 1.46411e-03 1.25502e-03 1.59712e-03 1.65705e-03 1.24945e-03 2.01030e-03
1.94610e+03 1.62851e-05 1.40795e-05 1.87552e-05 1.71104e-05 1.36736e-05 2.19041e-05
2.73850e+02 2.16727e+00 2.07055e+00 2.23725e+00 2.66333e+00 1.85594e+00 3.46487e+00
2.49310e+03 8.86863e-07 7.61251e-07 1.06497e-06 9.32724e-07 7.41903e-07 1.21255e-06
1.60390e+03 1.04851e-04 9.28956e-05 1.15331e-04 1.12404e-04 8.71594e-05 1.42595e-04
4.67800e+02 2.25535e-01 2.11627e-01 2.41757e-01 2.67703e-01 2.02349e-01 3.38313e-01
1.38580e+03 3.51155e-04 3.13574e-04 4.12151e-04 3.84339e-04 3.07532e-04 5.00683e-04
4.71630e+02 2.18802e-01 2.01204e-01 2.32092e-01 2.52855e-01 1.96276e-01 3.23440e-01
1.51460e+03 1.71024e-04 1.50916e-04 2.00710e-04 1.84411e-04 1.46471e-04 2.43668e-04
2.18850e+03 4.37581e-06 3.78679e-06 5.17922e-06 4.63561e-06 3.61141e-06 5.97278e-06
1.62200e+03 9.47936e-05 8.32058e-05 1.07142e-04 1.00551e-04 7.84830e-05 1.26140e-04
2.98370e+03 7.27353e-08 5.95014e-08 8.51160e-08 7.63316e-08 6.00506e-08 1.00458e-07
2.05760e+03 8.98436e-06 7.66598e-06 1.05532e-05 9.19808e-06 6.99591e-06 1.19551e-05
3.84570e+02 5.32928e-01 5.16118e-01 5.63503e-01 6.34429e-01 4.88074e-01 8.30519e-01
1.96130e+03 1.50051e-05 1.32288e-05 1.77195e-05 1.56942e-05 1.20816e-05 2.03030e-05
5.14530e+02 1.45483e-01 1.35321e-01 1.53298e-01 1.68009e-01 1.30847e-01 2.09210e-01
1.07820e+03 2.17405e-03 2.01619e-03 2.51307e-03 2.56071e-03 1.95872e-03 3.15617e-03
1.21800e+03 9.49173e-04 8.74548e-04 1.05806e-03 1.06760e-03 8.25765e-04 1.36830e-03
1.47390e+03 2.16328e-04 1.93518e-04 2.45695e-04 2.32998e-04 1.83322e-04 3.01050e-04
2.29490e+03 2.51774e-06 2.15626e-06 2.94729e-06 2.65764e-06 2.15171e-06 3.44511e-06
3.30980e+02 1.01746e+00 9.66214e-01 1.05457e+00 1.23692e+00 9.27367e-01 1.62898e+00
2.66760e+03 3.51353e-07 3.11167e-07 4.28987e-07 3.80751e-07 3.04101e-07 4.97888e-07
4.99430e+02 1.67254e-01 1.55495e-01 1.77117e-01 1.95184e-01 1.51598e-01 2.49602e-01
1.31880e+02 3.07017e+01 3.14607e+01 2.98954e+01 4.50802e+01 2.71172e+01 5.92765e+01
2.18720e+03 4.47323e-06 3.72317e-06 5.22534e-06 4.80456e-06 3.75412e-06 6.13507e-06
2.95150e+03 8.44393e-08 7.16461e-08 1.00330e-07 9.04662e-08 7.06570e-08 1.15832e-07
9.82180e+02 4.20620e-03 3.79438e-03 4.50856e-03 4.57686e-03 3.58262e-03 5.83748e-03
1.76230e+03 4.33296e-05 3.87887e-05 4.97117e-05 4.71759e-05 3.80748e-05 6.00145e-05
2.91860e+03 1.00144e-07 8.48291e-08 1.15960e-07 1.07497e-07 8.36929e-08 1.36406e-07
