masses    LO_data    NLO_data
1.40000e+02 6.91719e+01 8.53982e+01
1.60000e+02 4.21268e+01 5.28345e+01
2.60000e+02 6.98523e+00 8.41885e+00
3.40000e+02 2.38099e+00 2.81990e+00
1.40000e+02 6.84391e+01 8.68996e+01
2.20000e+02 1.32615e+01 1.63469e+01
3.00000e+02 4.00318e+00 4.76637e+00
4.00000e+02 1.18326e+00 1.38815e+00
1.20000e+02 1.19288e+02 1.49053e+02
2.00000e+02 1.89173e+01 2.33245e+01
3.00000e+02 3.95644e+00 4.80325e+00
4.00000e+02 1.17791e+00 1.41094e+00
1.20000e+02 1.18008e+02 1.50404e+02
2.00000e+02 1.92272e+01 2.32136e+01
3.00000e+02 3.98449e+00 4.71213e+00
4.00000e+02 1.19280e+00 1.42144e+00
1.20000e+02 1.18408e+02 1.48459e+02
2.00000e+02 1.87541e+01 2.36956e+01
3.00000e+02 3.93341e+00 4.75349e+00
4.00000e+02 1.15071e+00 1.41890e+00
1.00000e+02 2.21330e+02 2.82811e+02
2.00000e+02 1.87247e+01 2.34961e+01
3.00000e+02 4.00745e+00 4.78715e+00
4.00000e+02 1.18566e+00 1.41899e+00
1.40000e+02 6.95870e+01 8.64198e+01
1.40000e+02 6.93513e+01 8.71567e+01
2.40000e+02 9.44401e+00 1.17320e+01
3.40000e+02 2.35775e+00 2.85974e+00
1.20000e+02 1.20740e+02 1.50881e+02
1.60000e+02 4.33661e+01 5.32480e+01
2.40000e+02 9.42739e+00 1.17049e+01
3.40000e+02 2.32826e+00 2.83645e+00
6.00000e+01 1.34324e+03 1.81817e+03
1.40000e+02 6.89355e+01 8.69117e+01
2.40000e+02 9.69009e+00 1.15410e+01
3.40000e+02 2.34394e+00 2.82354e+00
1.00000e+02 2.22135e+02 2.84881e+02
1.60000e+02 4.30779e+01 5.35314e+01
2.60000e+02 6.92379e+00 8.52603e+00
3.60000e+02 1.83372e+00 2.22901e+00
1.20000e+02 1.18288e+02 1.48830e+02
1.60000e+02 4.35985e+01 5.46877e+01
2.60000e+02 6.97026e+00 8.55245e+00
3.60000e+02 1.85878e+00 2.20131e+00
6.00000e+01 1.38246e+03 1.78930e+03
1.60000e+02 4.25512e+01 5.32808e+01
2.60000e+02 6.95889e+00 8.48976e+00
3.40000e+02 2.34552e+00 2.88784e+00
1.00000e+02 2.17823e+02 2.90605e+02
1.60000e+02 4.26306e+01 5.48128e+01
2.60000e+02 6.98818e+00 8.41579e+00
3.60000e+02 1.85981e+00 2.26981e+00
6.00000e+01 1.40774e+03 1.79933e+03
1.80000e+02 2.79563e+01 3.41641e+01
2.60000e+02 6.87225e+00 8.41171e+00
3.60000e+02 1.85010e+00 2.23643e+00
6.00000e+01 1.34804e+03 1.83108e+03
1.80000e+02 2.85709e+01 3.49411e+01
2.60000e+02 7.01064e+00 8.43892e+00
3.60000e+02 1.87166e+00 2.21794e+00
6.00000e+01 1.33781e+03 1.78683e+03
1.80000e+02 2.78002e+01 3.45840e+01
2.80000e+02 5.33279e+00 6.32178e+00
3.60000e+02 1.88242e+00 2.20709e+00
1.40000e+02 6.89914e+01 8.67706e+01
1.60000e+02 4.28375e+01 5.31476e+01
2.60000e+02 6.94915e+00 8.66485e+00
3.60000e+02 1.87662e+00 2.25155e+00
8.00000e+01 4.77770e+02 6.16314e+02
