masses    NLO_data
2.60000e+02 8.52456e+00
3.60000e+02 2.17943e+00
1.20000e+02 1.44360e+02
2.40000e+02 1.15785e+01
3.40000e+02 2.80272e+00
1.20000e+02 1.50761e+02
2.40000e+02 1.14757e+01
3.40000e+02 2.85966e+00
1.20000e+02 1.45300e+02
2.40000e+02 1.14287e+01
3.40000e+02 2.81439e+00
1.20000e+02 1.38129e+02
2.40000e+02 1.17352e+01
3.40000e+02 2.85129e+00
1.20000e+02 1.51203e+02
2.40000e+02 1.15209e+01
3.40000e+02 2.79996e+00
1.00000e+02 2.75971e+02
2.40000e+02 1.17302e+01
3.40000e+02 2.80952e+00
1.20000e+02 1.50849e+02
2.40000e+02 1.16086e+01
3.40000e+02 2.75046e+00
1.40000e+02 8.68160e+01
1.80000e+02 3.40959e+01
3.00000e+02 4.73871e+00
3.80000e+02 1.69553e+00
1.40000e+02 8.63204e+01
1.60000e+02 5.01169e+01
2.80000e+02 6.41745e+00
3.60000e+02 2.18386e+00
1.40000e+02 8.65912e+01
1.80000e+02 3.39607e+01
2.80000e+02 6.10228e+00
3.80000e+02 1.75346e+00
1.40000e+02 8.69626e+01
1.80000e+02 3.50868e+01
2.80000e+02 6.28926e+00
3.80000e+02 1.70153e+00
1.40000e+02 8.13219e+01
1.80000e+02 3.41298e+01
2.80000e+02 6.10141e+00
3.80000e+02 1.77258e+00
1.00000e+02 2.76841e+02
2.40000e+02 1.17022e+01
3.40000e+02 2.84761e+00
8.00000e+01 6.15521e+02
2.40000e+02 1.15714e+01
3.40000e+02 2.81910e+00
8.00000e+01 6.30785e+02
2.40000e+02 1.14822e+01
3.40000e+02 2.75240e+00
6.00000e+01 1.78515e+03
1.60000e+02 5.33340e+01
2.60000e+02 8.50386e+00
3.60000e+02 2.23506e+00
6.00000e+01 1.87388e+03
1.60000e+02 5.22794e+01
2.60000e+02 8.29716e+00
3.60000e+02 2.26288e+00
6.00000e+01 1.88832e+03
2.00000e+02 2.39294e+01
3.00000e+02 4.61469e+00
4.00000e+02 1.39817e+00
1.40000e+02 8.57851e+01
2.20000e+02 1.65834e+01
3.00000e+02 4.53739e+00
4.00000e+02 1.40605e+00
1.00000e+02 3.01159e+02
2.40000e+02 1.10161e+01
3.40000e+02 2.76358e+00
1.00000e+02 2.78997e+02
2.40000e+02 1.13724e+01
3.40000e+02 2.80213e+00
6.00000e+01 1.85695e+03
2.40000e+02 1.16966e+01
3.40000e+02 2.86278e+00
8.00000e+01 6.15802e+02
2.40000e+02 1.17310e+01
3.40000e+02 2.84445e+00
8.00000e+01 6.43480e+02
2.00000e+02 2.34206e+01
3.00000e+02 4.79844e+00
4.00000e+02 1.39330e+00
6.00000e+01 1.75289e+03
2.40000e+02 1.14200e+01
3.20000e+02 3.59582e+00
