masses    LO_data
3.60000e+02 1.88278e+00
8.00000e+01 4.71595e+02
1.80000e+02 2.82417e+01
3.00000e+02 3.91928e+00
3.80000e+02 1.46331e+00
8.00000e+01 4.57447e+02
1.80000e+02 2.96798e+01
3.00000e+02 3.87970e+00
3.80000e+02 1.49206e+00
1.20000e+02 1.18584e+02
2.00000e+02 1.87734e+01
3.00000e+02 3.97237e+00
3.80000e+02 1.48491e+00
1.20000e+02 1.17838e+02
2.00000e+02 1.94143e+01
2.80000e+02 5.16094e+00
3.80000e+02 1.54011e+00
1.00000e+02 2.17121e+02
1.60000e+02 4.20494e+01
2.60000e+02 6.84763e+00
3.60000e+02 1.80742e+00
1.00000e+02 2.19682e+02
1.60000e+02 4.27842e+01
2.80000e+02 5.20892e+00
3.80000e+02 1.45979e+00
1.20000e+02 1.20367e+02
1.60000e+02 4.31014e+01
2.60000e+02 6.74697e+00
3.80000e+02 1.48680e+00
8.00000e+01 4.74386e+02
1.60000e+02 4.22735e+01
2.80000e+02 5.37511e+00
3.80000e+02 1.54426e+00
1.40000e+02 6.64232e+01
1.60000e+02 4.07683e+01
2.60000e+02 7.29190e+00
3.60000e+02 1.86259e+00
8.00000e+01 4.80393e+02
1.60000e+02 4.38262e+01
2.60000e+02 6.90766e+00
3.80000e+02 1.42286e+00
8.00000e+01 5.31605e+02
1.40000e+02 6.94797e+01
2.40000e+02 9.98102e+00
3.60000e+02 1.84569e+00
1.20000e+02 1.15930e+02
1.60000e+02 4.26556e+01
2.80000e+02 5.34801e+00
3.80000e+02 1.51731e+00
1.00000e+02 2.26629e+02
1.80000e+02 2.82033e+01
3.00000e+02 4.04389e+00
3.80000e+02 1.53446e+00
6.00000e+01 1.46219e+03
1.60000e+02 4.37817e+01
2.60000e+02 6.78687e+00
3.60000e+02 1.89934e+00
8.00000e+01 4.72974e+02
2.00000e+02 1.92101e+01
3.00000e+02 4.04315e+00
3.80000e+02 1.48960e+00
8.00000e+01 4.82901e+02
1.80000e+02 2.83891e+01
2.80000e+02 5.36374e+00
3.80000e+02 1.45019e+00
8.00000e+01 4.61776e+02
2.00000e+02 1.93694e+01
3.00000e+02 3.93652e+00
3.80000e+02 1.45565e+00
8.00000e+01 4.61855e+02
1.60000e+02 4.22582e+01
2.60000e+02 6.95365e+00
3.40000e+02 2.35850e+00
1.40000e+02 6.98504e+01
1.60000e+02 4.29125e+01
2.60000e+02 7.00497e+00
3.60000e+02 1.79251e+00
8.00000e+01 4.82412e+02
2.20000e+02 1.37559e+01
3.00000e+02 3.93851e+00
4.00000e+02 1.24078e+00
6.00000e+01 1.31465e+03
2.20000e+02 1.30943e+01
3.00000e+02 4.02877e+00
3.80000e+02 1.48190e+00
6.00000e+01 1.40693e+03
2.20000e+02 1.35936e+01
3.20000e+02 2.99850e+00
4.00000e+02 1.20472e+00
6.00000e+01 1.37965e+03
2.20000e+02 1.30672e+01
3.00000e+02 3.94184e+00
4.00000e+02 1.20876e+00
1.40000e+02 7.01148e+01
1.60000e+02 4.38394e+01
2.60000e+02 6.96342e+00
3.80000e+02 1.49479e+00
6.00000e+01 1.41759e+03
2.20000e+02 1.33234e+01
3.20000e+02 3.15391e+00
4.00000e+02 1.16777e+00
1.40000e+02 6.87782e+01
2.20000e+02 1.35429e+01
3.00000e+02 4.01547e+00
4.00000e+02 1.18095e+00
1.40000e+02 7.08001e+01
2.20000e+02 1.36070e+01
3.00000e+02 3.94112e+00
4.00000e+02 1.18595e+00
1.00000e+02 2.13067e+02
2.20000e+02 1.33488e+01
3.20000e+02 3.05686e+00
4.00000e+02 1.17819e+00
6.00000e+01 1.35678e+03
1.60000e+02 4.15161e+01
2.60000e+02 6.89728e+00
3.80000e+02 1.48783e+00
1.40000e+02 6.84183e+01
2.00000e+02 1.86410e+01
3.00000e+02 3.73645e+00
4.00000e+02 1.14450e+00
1.40000e+02 6.60945e+01
1.80000e+02 2.76757e+01
3.00000e+02 3.94373e+00
4.00000e+02 1.20209e+00
6.00000e+01 1.33160e+03
1.80000e+02 2.79661e+01
2.80000e+02 5.19881e+00
4.00000e+02 1.20281e+00
1.00000e+02 2.18478e+02
1.60000e+02 4.10729e+01
2.60000e+02 6.91904e+00
3.60000e+02 1.90531e+00
1.20000e+02 1.12844e+02
2.00000e+02 1.87324e+01
2.80000e+02 5.35497e+00
3.80000e+02 1.47086e+00
1.00000e+02 2.31939e+02
1.60000e+02 4.27522e+01
2.40000e+02 9.70774e+00
3.40000e+02 2.35176e+00
1.20000e+02 1.16841e+02
1.80000e+02 2.81350e+01
2.80000e+02 5.24936e+00
3.60000e+02 1.94680e+00
1.40000e+02 6.68697e+01
1.80000e+02 2.72747e+01
2.60000e+02 7.18029e+00
3.60000e+02 1.84965e+00
1.00000e+02 2.36421e+02
1.80000e+02 2.83180e+01
2.80000e+02 5.25907e+00
4.00000e+02 1.18324e+00
1.00000e+02 2.24430e+02
1.80000e+02 2.72262e+01
2.80000e+02 5.17454e+00
4.00000e+02 1.18495e+00
8.00000e+01 4.79282e+02
1.80000e+02 2.84410e+01
2.80000e+02 5.14322e+00
4.00000e+02 1.17255e+00
8.00000e+01 4.71330e+02
2.00000e+02 1.83814e+01
2.80000e+02 5.34117e+00
4.00000e+02 1.20900e+00
6.00000e+01 1.40073e+03
1.60000e+02 4.32378e+01
2.60000e+02 7.02905e+00
3.80000e+02 1.46987e+00
8.00000e+01 4.66224e+02
2.40000e+02 9.27941e+00
3.40000e+02 2.31315e+00
8.00000e+01 4.50853e+02
2.40000e+02 9.63738e+00
3.40000e+02 2.34858e+00
8.00000e+01 4.63205e+02
2.40000e+02 9.32243e+00
3.40000e+02 2.37664e+00
8.00000e+01 4.84992e+02
2.00000e+02 1.89750e+01
3.00000e+02 3.95550e+00
4.00000e+02 1.18214e+00
8.00000e+01 4.62797e+02
2.40000e+02 9.40844e+00
3.40000e+02 2.35302e+00
8.00000e+01 4.66860e+02
2.40000e+02 9.80222e+00
3.40000e+02 2.41278e+00
1.40000e+02 7.05633e+01
2.00000e+02 1.90620e+01
1.40000e+02 7.21239e+01
1.80000e+02 2.71265e+01
1.40000e+02 6.85476e+01
2.00000e+02 2.04773e+01
1.00000e+02 2.24439e+02
1.60000e+02 4.31613e+01
2.60000e+02 7.16926e+00
3.40000e+02 2.36029e+00
6.00000e+01 1.35930e+03
1.80000e+02 2.77926e+01
2.80000e+02 5.22422e+00
3.60000e+02 1.87982e+00
6.00000e+01 1.32916e+03
1.80000e+02 2.83630e+01
2.80000e+02 5.23855e+00
3.60000e+02 1.83292e+00
1.40000e+02 6.79424e+01
2.00000e+02 1.81722e+01
3.00000e+02 3.91196e+00
4.00000e+02 1.20881e+00
1.40000e+02 6.87935e+01
2.00000e+02 1.87103e+01
2.80000e+02 5.00291e+00
4.00000e+02 1.19686e+00
1.20000e+02 1.20663e+02
1.60000e+02 4.40842e+01
2.60000e+02 7.26636e+00
3.60000e+02 1.90387e+00
6.00000e+01 1.24912e+03
2.00000e+02 1.91321e+01
2.80000e+02 5.32285e+00
3.60000e+02 1.82284e+00
6.00000e+01 1.38719e+03
1.80000e+02 2.77884e+01
2.80000e+02 5.16673e+00
3.80000e+02 1.48595e+00
6.00000e+01 1.26514e+03
2.00000e+02 1.88135e+01
2.80000e+02 5.40287e+00
3.80000e+02 1.48086e+00
6.00000e+01 1.51721e+03
1.80000e+02 2.78215e+01
2.60000e+02 6.96827e+00
3.80000e+02 1.46137e+00
6.00000e+01 1.31766e+03
1.80000e+02 2.79403e+01
2.80000e+02 5.23668e+00
3.60000e+02 1.88811e+00
1.00000e+02 2.14110e+02
2.00000e+02 1.94812e+01
2.80000e+02 5.28211e+00
3.80000e+02 1.47960e+00
1.20000e+02 1.16456e+02
1.60000e+02 4.27862e+01
2.60000e+02 6.90350e+00
3.60000e+02 1.87022e+00
6.00000e+01 1.32587e+03
2.20000e+02 1.33872e+01
3.20000e+02 3.07881e+00
6.00000e+01 1.39797e+03
2.00000e+02 1.90549e+01
3.00000e+02 4.06302e+00
4.00000e+02 1.20813e+00
6.00000e+01 1.37577e+03
2.20000e+02 1.29659e+01
3.20000e+02 2.94255e+00
8.00000e+01 4.69241e+02
2.20000e+02 1.34176e+01
3.20000e+02 3.05469e+00
4.00000e+02 1.19950e+00
6.00000e+01 1.41941e+03
2.20000e+02 1.31781e+01
3.20000e+02 3.01303e+00
8.00000e+01 5.02506e+02
2.20000e+02 1.28373e+01
3.20000e+02 3.00416e+00
8.00000e+01 5.04956e+02
2.20000e+02 1.31009e+01
3.20000e+02 3.05996e+00
1.00000e+02 2.32385e+02
2.40000e+02 9.65396e+00
3.40000e+02 2.33800e+00
8.00000e+01 5.14944e+02
2.00000e+02 1.93655e+01
3.00000e+02 3.88952e+00
4.00000e+02 1.19573e+00
1.20000e+02 1.23745e+02
2.00000e+02 1.86291e+01
3.00000e+02 4.07695e+00
4.00000e+02 1.16444e+00
6.00000e+01 1.28470e+03
2.00000e+02 1.91989e+01
3.00000e+02 3.98310e+00
4.00000e+02 1.17924e+00
1.20000e+02 1.18488e+02
1.60000e+02 4.13343e+01
2.60000e+02 6.94423e+00
3.60000e+02 1.79851e+00
1.00000e+02 2.12607e+02
1.80000e+02 2.70001e+01
2.80000e+02 5.20786e+00
3.80000e+02 1.49598e+00
1.00000e+02 2.20663e+02
1.60000e+02 4.33111e+01
2.60000e+02 6.74740e+00
3.80000e+02 1.52052e+00
1.00000e+02 2.27257e+02
1.80000e+02 2.83303e+01
2.80000e+02 5.24288e+00
3.80000e+02 1.41998e+00
1.40000e+02 7.00044e+01
2.20000e+02 1.32973e+01
3.20000e+02 3.03930e+00
1.20000e+02 1.19251e+02
2.20000e+02 1.29427e+01
3.20000e+02 2.93676e+00
1.20000e+02 1.20828e+02
2.20000e+02 1.31345e+01
3.20000e+02 3.10399e+00
1.20000e+02 1.19575e+02
2.20000e+02 1.32883e+01
3.20000e+02 3.09117e+00
1.20000e+02 1.15122e+02
2.20000e+02 1.29865e+01
3.20000e+02 3.06892e+00
8.00000e+01 4.85761e+02
2.20000e+02 1.31637e+01
3.20000e+02 3.12563e+00
1.00000e+02 2.19816e+02
2.20000e+02 1.29756e+01
3.20000e+02 3.10611e+00
1.40000e+02 7.02713e+01
2.00000e+02 1.87858e+01
3.00000e+02 3.94247e+00
3.80000e+02 1.47041e+00
6.00000e+01 1.44474e+03
1.60000e+02 4.25498e+01
2.40000e+02 9.33194e+00
3.40000e+02 2.39588e+00
1.40000e+02 6.91415e+01
2.00000e+02 1.92480e+01
3.00000e+02 3.94753e+00
3.80000e+02 1.45373e+00
6.00000e+01 1.28437e+03
2.00000e+02 1.92353e+01
2.80000e+02 5.19115e+00
3.80000e+02 1.53094e+00
1.20000e+02 1.16569e+02
1.60000e+02 4.27671e+01
2.60000e+02 7.07634e+00
3.60000e+02 1.83810e+00
1.00000e+02 2.14934e+02
1.60000e+02 4.14883e+01
2.60000e+02 7.14976e+00
3.60000e+02 1.79709e+00
1.20000e+02 1.11019e+02
1.80000e+02 2.74756e+01
2.80000e+02 5.09012e+00
3.80000e+02 1.46123e+00
1.00000e+02 2.27879e+02
1.80000e+02 2.83069e+01
2.80000e+02 5.09952e+00
3.60000e+02 1.85997e+00
1.20000e+02 1.20876e+02
1.80000e+02 2.87266e+01
2.60000e+02 6.98086e+00
3.60000e+02 1.83424e+00
1.00000e+02 2.14621e+02
1.60000e+02 4.28459e+01
2.60000e+02 6.99116e+00
3.60000e+02 1.84423e+00
1.20000e+02 1.21916e+02
2.40000e+02 9.58474e+00
3.40000e+02 2.31975e+00
1.20000e+02 1.18131e+02
2.40000e+02 9.40063e+00
3.40000e+02 2.44025e+00
1.20000e+02 1.12358e+02
2.40000e+02 9.27652e+00
3.40000e+02 2.43948e+00
1.20000e+02 1.19714e+02
2.40000e+02 9.67999e+00
3.40000e+02 2.37068e+00
1.20000e+02 1.13995e+02
2.40000e+02 9.49383e+00
3.40000e+02 2.41559e+00
1.00000e+02 2.07921e+02
2.40000e+02 9.25422e+00
3.40000e+02 2.34774e+00
1.20000e+02 1.16056e+02
2.40000e+02 9.44648e+00
3.40000e+02 2.33868e+00
1.40000e+02 6.65427e+01
1.80000e+02 2.87027e+01
3.00000e+02 4.01971e+00
3.80000e+02 1.48101e+00
1.40000e+02 7.01287e+01
1.60000e+02 4.34860e+01
2.80000e+02 5.43605e+00
3.60000e+02 1.82241e+00
1.40000e+02 7.00468e+01
1.80000e+02 2.76625e+01
2.80000e+02 5.17764e+00
3.80000e+02 1.46713e+00
1.40000e+02 6.89487e+01
1.80000e+02 2.77534e+01
2.80000e+02 5.20406e+00
3.80000e+02 1.44627e+00
1.40000e+02 6.83311e+01
1.80000e+02 2.73743e+01
2.80000e+02 5.13493e+00
3.80000e+02 1.45061e+00
1.00000e+02 2.18932e+02
2.40000e+02 9.40913e+00
3.40000e+02 2.36017e+00
8.00000e+01 4.74366e+02
2.40000e+02 9.30857e+00
3.40000e+02 2.33948e+00
8.00000e+01 4.86821e+02
2.40000e+02 9.59880e+00
3.40000e+02 2.35852e+00
6.00000e+01 1.33880e+03
1.60000e+02 4.08608e+01
2.60000e+02 6.99087e+00
3.60000e+02 1.82870e+00
6.00000e+01 1.42907e+03
1.60000e+02 4.33258e+01
2.60000e+02 7.08473e+00
3.60000e+02 1.87322e+00
6.00000e+01 1.27859e+03
2.00000e+02 1.95700e+01
3.00000e+02 3.92154e+00
4.00000e+02 1.16967e+00
1.40000e+02 6.74476e+01
2.20000e+02 1.31882e+01
3.00000e+02 3.78861e+00
4.00000e+02 1.17375e+00
1.00000e+02 2.29350e+02
2.40000e+02 9.66101e+00
3.40000e+02 2.34808e+00
1.00000e+02 2.30789e+02
2.40000e+02 9.76590e+00
3.40000e+02 2.39744e+00
6.00000e+01 1.32157e+03
2.40000e+02 9.30093e+00
3.40000e+02 2.39782e+00
8.00000e+01 4.86512e+02
2.40000e+02 9.87929e+00
3.40000e+02 2.36074e+00
8.00000e+01 4.63882e+02
2.00000e+02 1.82617e+01
3.00000e+02 3.87541e+00
4.00000e+02 1.17736e+00
6.00000e+01 1.45380e+03
2.40000e+02 9.49701e+00
3.20000e+02 3.02427e+00
