file                  m1000011      m1000015      m2000015      staumix11     2000015_-2000015_13000_LO_test 2000015_-2000015_13000_NLO_1_relerr 2000015_-2000015_13000_NLO_1 2000015_-2000015_13000_NLO_05 2000015_-2000015_13000_NLO_2 2000015_-2000015_13000_NLO_pdf 2000015_-2000015_13000_NLO_aup 2000015_-2000015_13000_NLO_adn 
108_3.slha 3.20000e+02   3.20000e+02   4.20000e+02   1.00000e+00   3.72040e-01   7.78270e-04   4.27900e-01   4.37150e-01   4.18760e-01   1.32010e-02   4.27990e-01   4.26800e-01  
109_1.slha 1.00000e+02   1.00000e+02   2.00000e+02   6.25000e-01   1.00110e+01   7.67590e-04   1.17490e+01   1.19920e+01   1.15670e+01   2.52310e-01   1.16970e+01   1.17770e+01  
109_2.slha 2.20000e+02   2.20000e+02   3.70000e+02   5.00000e-01   1.11450e+00   7.76740e-04   1.28320e+00   1.31080e+00   1.25710e+00   3.64990e-02   1.28220e+00   1.28100e+00  
109_3.slha 3.20000e+02   3.20000e+02   4.70000e+02   1.25000e-01   5.58560e-01   7.74940e-04   6.42430e-01   6.56500e-01   6.27880e-01   2.14550e-02   6.42840e-01   6.40180e-01  
110_1.slha 8.00000e+01   8.00000e+01   1.30000e+02   1.00000e+00   3.30050e+01   7.53490e-04   3.97060e+01   4.04410e+01   3.92430e+01   7.99620e-01   3.94410e+01   3.99100e+01  
110_2.slha 2.20000e+02   2.20000e+02   3.20000e+02   7.50000e-01   1.29430e+00   7.77800e-04   1.49420e+00   1.52600e+00   1.46580e+00   3.98260e-02   1.49190e+00   1.49310e+00  
110_3.slha 3.20000e+02   3.20000e+02   4.20000e+02   8.75000e-01   3.50350e-01   7.79420e-04   4.02950e-01   4.11650e-01   3.94370e-01   1.25150e-02   4.03080e-01   4.01930e-01  
111_1.slha 1.00000e+02   1.00000e+02   2.50000e+02   3.75000e-01   6.49170e+00   7.71290e-04   7.54610e+00   7.70580e+00   7.41610e+00   1.72120e-01   7.52130e+00   7.55350e+00  
111_2.slha 2.20000e+02   2.20000e+02   3.70000e+02   8.75000e-01   6.05600e-01   7.79400e-04   6.97340e-01   7.12280e-01   6.83280e-01   2.01750e-02   6.96970e-01   6.96180e-01  
111_3.slha 3.20000e+02   3.20000e+02   4.70000e+02   3.75000e-01   4.59640e-01   7.75500e-04   5.28650e-01   5.40220e-01   5.16700e-01   1.75770e-02   5.29030e-01   5.26820e-01  
112_1.slha 8.00000e+01   8.00000e+01   1.30000e+02   6.25000e-01   4.57000e+01   7.53150e-04   5.49680e+01   5.59880e+01   5.43260e+01   1.08410e+00   5.46000e+01   5.52520e+01  
112_2.slha 2.20000e+02   2.20000e+02   3.70000e+02   3.75000e-01   1.32740e+00   7.76140e-04   1.52830e+00   1.56110e+00   1.49720e+00   4.34830e-02   1.52700e+00   1.52560e+00  
112_3.slha 3.20000e+02   3.20000e+02   4.70000e+02   2.50000e-01   5.19540e-01   7.75140e-04   5.97550e-01   6.10630e-01   5.84020e-01   1.99260e-02   5.97950e-01   5.95460e-01  
113_1.slha 1.00000e+02   1.00000e+02   2.50000e+02   5.00000e-01   5.43300e+00   7.71920e-04   6.31600e+00   6.44960e+00   6.20740e+00   1.45300e-01   6.29570e+00   6.32220e+00  
113_2.slha 2.20000e+02   2.20000e+02   3.70000e+02   7.50000e-01   7.08600e-01   7.78780e-04   8.15920e-01   8.33420e-01   7.99440e-01   2.34600e-02   8.15450e-01   8.14560e-01  
113_3.slha 3.20000e+02   3.20000e+02   4.70000e+02   0.00000e+00   5.72080e-01   7.74880e-04   6.57980e-01   6.72390e-01   6.43070e-01   2.19920e-02   6.58400e-01   6.55680e-01  
