masses    LO_data    NLO_data
2.40000e+02 6.25000e-01 5.04134e+00 4.75772e+00
3.40000e+02 6.25000e-01 1.25964e+00 1.17525e+00
1.30000e+02 5.00000e-01 5.88329e+01 4.14961e+01
2.40000e+02 7.50000e-01 3.93125e+00 5.56199e+00
3.40000e+02 5.00000e-01 1.54716e+00 1.10734e+00
1.70000e+02 3.75000e-01 2.69391e+01 1.68486e+01
2.40000e+02 8.75000e-01 3.40854e+00 7.56813e+00
3.40000e+02 7.50000e-01 1.00851e+00 1.40043e+00
1.70000e+02 6.12323e-17 3.41490e+01 1.84913e+01
2.40000e+02 1.25000e-01 9.44090e+00 5.05743e+00
4.70000e+02 6.25000e-01 3.10826e-01 2.83484e-01
1.00000e+02 3.75000e-01 1.69451e+02 1.08272e+02
2.40000e+02 1.00000e+00 3.63233e+00 1.10481e+01
3.40000e+02 3.75000e-01 1.88667e+00 1.12021e+00
1.00000e+02 5.00000e-01 1.44175e+02 1.03392e+02
2.90000e+02 6.12323e-17 4.47380e+00 2.37019e+00
3.40000e+02 1.25000e-01 2.30721e+00 1.21462e+00
1.70000e+02 1.00000e+00 1.29911e+01 4.09198e+01
3.10000e+02 6.12323e-17 3.47954e+00 1.79644e+00
4.10000e+02 3.75000e-01 8.56278e-01 4.96893e-01
4.80000e+02 6.25000e-01 2.82303e-01 2.55898e-01
1.80000e+02 7.50000e-01 1.14691e+01 1.64946e+01
3.30000e+02 6.12323e-17 2.66690e+00 1.39419e+00
3.80000e+02 6.25000e-01 7.92455e-01 7.26622e-01
5.30000e+02 7.50000e-01 1.43626e-01 1.89381e-01
2.00000e+02 1.25000e-01 1.85820e+01 9.90641e+00
2.00000e+02 1.25000e-01 1.85987e+01 9.86756e+00
3.50000e+02 7.50000e-01 8.93444e-01 1.24264e+00
4.00000e+02 8.75000e-01 4.37479e-01 9.52105e-01
1.00000e+02 1.00000e+00 8.23449e+01 2.66837e+02
2.20000e+02 2.50000e-01 1.19109e+01 6.67529e+00
4.50000e+02 7.50000e-01 3.01128e-01 4.16222e-01
5.00000e+02 1.00000e+00 1.66467e-01 4.87639e-01
2.40000e+02 7.50000e-01 3.95326e+00 5.72084e+00
2.60000e+02 1.00000e+00 2.66588e+00 8.05482e+00
2.60000e+02 6.12323e-17 7.03276e+00 3.65385e+00
4.90000e+02 5.00000e-01 3.10802e-01 2.16182e-01
1.40000e+02 7.50000e-01 2.71298e+01 4.09206e+01
2.20000e+02 3.75000e-01 1.06769e+01 6.33693e+00
4.50000e+02 5.00000e-01 4.69648e-01 3.17887e-01
5.00000e+02 8.75000e-01 1.60126e-01 3.38681e-01
1.70000e+02 6.25000e-01 1.82774e+01 1.68384e+01
3.50000e+02 7.50000e-01 8.93017e-01 1.26010e+00
4.50000e+02 6.25000e-01 3.83991e-01 3.45575e-01
5.00000e+02 3.75000e-01 3.46774e-01 2.00771e-01
1.20000e+02 6.12323e-17 1.16173e+02 6.33864e+01
2.50000e+02 1.25000e-01 7.86424e+00 4.23442e+00
4.00000e+02 6.12323e-17 1.17960e+00 6.06764e-01
4.50000e+02 1.25000e-01 6.81521e-01 3.51201e-01
2.70000e+02 6.12323e-17 6.00208e+00 3.08849e+00
2.50000e+02 8.75000e-01 2.94612e+00 6.49684e+00
4.00000e+02 3.75000e-01 9.33648e-01 5.53981e-01
4.50000e+02 8.75000e-01 2.56275e-01 5.63284e-01
1.50000e+02 7.50000e-01 2.16684e+01 3.12540e+01
3.50000e+02 8.75000e-01 7.49593e-01 1.64990e+00
4.50000e+02 6.12323e-17 7.00245e-01 3.54968e-01
4.50000e+02 1.00000e+00 2.69626e-01 7.87147e-01
2.90000e+02 6.12323e-17 4.52033e+00 2.37103e+00
2.90000e+02 8.75000e-01 1.62183e+00 3.66859e+00
3.90000e+02 5.00000e-01 8.95102e-01 6.09312e-01
4.90000e+02 2.50000e-01 4.21311e-01 2.30112e-01
1.70000e+02 2.50000e-01 3.12525e+01 1.78377e+01
1.60000e+02 3.75000e-01 3.35882e+01 2.08803e+01
3.90000e+02 1.00000e+00 5.10313e-01 1.50029e+00
4.90000e+02 1.25000e-01 4.64024e-01 2.35513e-01
1.60000e+02 6.12323e-17 4.27126e+01 2.31255e+01
2.90000e+02 7.50000e-01 1.94527e+00 2.73478e+00
3.90000e+02 3.75000e-01 1.05662e+00 6.15667e-01
4.90000e+02 6.12323e-17 4.76104e-01 2.39750e-01
2.50000e+02 8.75000e-01 2.91690e+00 6.43191e+00
2.10000e+02 3.75000e-01 1.25722e+01 7.59660e+00
4.10000e+02 2.50000e-01 9.64173e-01 5.07714e-01
4.60000e+02 2.50000e-01 5.67042e-01 3.05814e-01
1.20000e+02 5.00000e-01 7.69548e+01 5.56367e+01
2.10000e+02 1.25000e-01 1.51408e+01 8.26523e+00
2.60000e+02 2.50000e-01 6.35546e+00 3.44242e+00
3.60000e+02 5.00000e-01 1.26400e+00 8.62105e-01
2.10000e+02 2.50000e-01 1.41139e+01 7.89889e+00
1.60000e+02 6.12323e-17 4.39126e+01 2.31003e+01
2.60000e+02 5.00000e-01 4.68262e+00 3.25491e+00
4.90000e+02 7.50000e-01 2.06716e-01 2.78004e-01
1.00000e+02 8.75000e-01 7.16465e+01 1.78912e+02
2.10000e+02 7.50000e-01 6.68266e+00 9.39899e+00
3.10000e+02 2.50000e-01 3.17260e+00 1.70130e+00
4.10000e+02 3.75000e-01 8.60139e-01 4.89404e-01
1.10000e+02 7.50000e-01 6.26048e+01 9.47459e+01
2.80000e+02 6.12323e-17 5.29649e+00 2.74289e+00
2.60000e+02 6.25000e-01 3.73558e+00 3.42877e+00
3.60000e+02 6.25000e-01 1.00181e+00 9.13405e-01
6.00000e+01 5.00000e-01 8.27677e+02 5.30559e+02
2.80000e+02 1.25000e-01 5.08291e+00 2.70038e+00
4.10000e+02 1.00000e+00 4.11618e-01 1.20223e+00
4.10000e+02 1.00000e+00 4.12469e-01 1.20622e+00
1.10000e+02 8.75000e-01 5.10715e+01 1.27232e+02
1.80000e+02 7.50000e-01 1.14676e+01 1.66716e+01
2.80000e+02 7.50000e-01 2.19223e+00 3.08106e+00
4.60000e+02 8.75000e-01 2.35039e-01 4.99805e-01
1.90000e+02 5.00000e-01 1.51637e+01 1.08123e+01
2.10000e+02 8.75000e-01 5.65153e+00 1.27209e+01
3.10000e+02 7.50000e-01 1.44927e+00 2.07283e+00
3.60000e+02 7.50000e-01 7.90861e-01 1.10124e+00
1.30000e+02 1.25000e-01 8.77243e+01 4.73651e+01
3.30000e+02 3.75000e-01 2.16863e+00 1.28160e+00
3.50000e+02 6.12323e-17 2.10622e+00 1.10015e+00
4.30000e+02 6.25000e-01 4.73010e-01 4.28131e-01
1.80000e+02 1.00000e+00 1.05178e+01 3.25970e+01
2.80000e+02 8.75000e-01 1.87840e+00 4.21656e+00
3.00000e+02 8.75000e-01 1.43445e+00 3.20236e+00
4.30000e+02 5.00000e-01 5.76403e-01 3.98931e-01
1.70000e+02 8.75000e-01 1.19629e+01 2.79723e+01
2.00000e+02 7.50000e-01 7.93997e+00 1.12069e+01
3.50000e+02 2.50000e-01 1.87852e+00 1.04881e+00
4.80000e+02 5.00000e-01 3.48629e-01 2.38281e-01
1.20000e+02 1.25000e-01 1.16511e+02 6.19850e+01
2.00000e+02 1.00000e+00 7.10743e+00 2.24071e+01
4.30000e+02 5.00000e-01 5.67934e-01 3.96448e-01
4.30000e+02 2.50000e-01 7.75377e-01 4.23752e-01
2.00000e+02 1.00000e+00 7.22668e+00 2.20637e+01
1.60000e+02 5.00000e-01 2.81906e+01 2.01970e+01
3.10000e+02 8.75000e-01 1.27633e+00 2.76058e+00
5.10000e+02 1.00000e+00 1.55975e-01 4.44583e-01
2.00000e+02 3.75000e-01 1.53106e+01 9.14727e+00
3.10000e+02 7.50000e-01 1.45896e+00 2.06607e+00
3.30000e+02 7.50000e-01 1.15769e+00 1.62386e+00
4.30000e+02 8.75000e-01 3.13402e-01 6.82140e-01
1.70000e+02 7.50000e-01 1.39769e+01 2.03719e+01
2.10000e+02 5.00000e-01 1.05458e+01 7.48558e+00
3.60000e+02 1.25000e-01 1.84702e+00 9.40299e-01
4.30000e+02 6.12323e-17 8.70531e-01 4.36573e-01
8.00000e+01 7.50000e-01 1.72196e+02 2.72238e+02
2.60000e+02 2.50000e-01 6.25521e+00 3.42153e+00
