masses    LO_data    NLO_data
1.40000e+02 3.16912e+01 3.97102e+01
1.60000e+02 1.50619e+01 1.89736e+01
2.60000e+02 7.09230e+00 8.50134e+00
3.40000e+02 1.64389e+00 1.97155e+00
1.40000e+02 3.14487e+01 3.99111e+01
2.20000e+02 1.07190e+01 1.31440e+01
3.00000e+02 2.67607e+00 3.27758e+00
4.00000e+02 4.85036e-01 5.92605e-01
1.20000e+02 6.66996e+01 8.31698e+01
2.00000e+02 8.88509e+00 1.11442e+01
3.00000e+02 2.31036e+00 2.73675e+00
4.00000e+02 9.63714e-01 1.13947e+00
1.20000e+02 1.17367e+02 1.49239e+02
2.00000e+02 1.85025e+01 2.30409e+01
3.00000e+02 3.89884e+00 4.72710e+00
4.00000e+02 1.15668e+00 1.38241e+00
1.20000e+02 1.18830e+02 1.48828e+02
2.00000e+02 7.55936e+00 9.38091e+00
3.00000e+02 3.20826e+00 3.83746e+00
4.00000e+02 4.95241e-01 5.77999e-01
1.00000e+02 9.75048e+01 1.23204e+02
2.00000e+02 7.66440e+00 9.35082e+00
3.00000e+02 3.98999e+00 4.76819e+00
4.00000e+02 4.45643e-01 5.33270e-01
1.40000e+02 6.88319e+01 8.60034e+01
1.40000e+02 2.63121e+01 3.36998e+01
2.40000e+02 6.71472e+00 8.09328e+00
3.40000e+02 2.14914e+00 2.59785e+00
1.20000e+02 1.06352e+02 1.33978e+02
1.60000e+02 3.39240e+01 4.29709e+01
2.40000e+02 3.46293e+00 4.23062e+00
3.40000e+02 2.29603e+00 2.76877e+00
6.00000e+01 1.35406e+03 1.76523e+03
1.40000e+02 3.17992e+01 3.96523e+01
2.40000e+02 7.75853e+00 9.38867e+00
3.40000e+02 2.39464e+00 2.87079e+00
1.00000e+02 7.95472e+01 1.04478e+02
1.60000e+02 3.47508e+01 4.28581e+01
2.60000e+02 6.31177e+00 7.65061e+00
3.60000e+02 1.70039e+00 2.04874e+00
1.20000e+02 7.75175e+01 9.99121e+01
1.60000e+02 4.20475e+01 5.25921e+01
2.60000e+02 6.24176e+00 7.70866e+00
3.60000e+02 1.29057e+00 1.55855e+00
6.00000e+01 1.18031e+03 1.59099e+03
1.60000e+02 4.28185e+01 5.28252e+01
2.60000e+02 4.76079e+00 5.90970e+00
3.40000e+02 1.14006e+00 1.36226e+00
1.00000e+02 8.14521e+01 1.05583e+02
1.60000e+02 2.01308e+01 2.53417e+01
2.60000e+02 6.30660e+00 7.74072e+00
3.60000e+02 1.49999e+00 1.81669e+00
6.00000e+01 5.21369e+02 6.59648e+02
1.80000e+02 2.76662e+01 3.42806e+01
2.60000e+02 4.03889e+00 4.90643e+00
3.60000e+02 1.08524e+00 1.30716e+00
6.00000e+01 8.28312e+02 1.11593e+03
1.80000e+02 2.76908e+01 3.38069e+01
2.60000e+02 2.55166e+00 3.13760e+00
3.60000e+02 7.18531e-01 8.42041e-01
6.00000e+01 4.00369e+02 5.33862e+02
1.80000e+02 1.31825e+01 1.63574e+01
2.80000e+02 2.48093e+00 3.06158e+00
3.60000e+02 7.80477e-01 9.18426e-01
1.40000e+02 4.62842e+01 5.81759e+01
1.60000e+02 1.69061e+01 2.12298e+01
2.60000e+02 3.37109e+00 4.08632e+00
3.60000e+02 9.08035e-01 1.07396e+00
8.00000e+01 4.71500e+02 5.86043e+02
1.80000e+02 2.24069e+01 2.74193e+01
3.00000e+02 3.97587e+00 4.71439e+00
3.80000e+02 8.60788e-01 1.03801e+00
8.00000e+01 1.45826e+02 1.95592e+02
1.80000e+02 1.11968e+01 1.37129e+01
3.00000e+02 1.61481e+00 1.96995e+00
3.80000e+02 1.00875e+00 1.21150e+00
1.20000e+02 4.46997e+01 5.72798e+01
2.00000e+02 8.95300e+00 1.10615e+01
3.00000e+02 3.55953e+00 4.40653e+00
3.80000e+02 1.04416e+00 1.21172e+00
1.20000e+02 1.14239e+02 1.44683e+02
2.00000e+02 6.91748e+00 8.44921e+00
2.80000e+02 3.58366e+00 4.40723e+00
3.80000e+02 1.36298e+00 1.61600e+00
1.00000e+02 7.31890e+01 9.61910e+01
1.60000e+02 2.91142e+01 3.67158e+01
2.60000e+02 2.80840e+00 3.43763e+00
3.60000e+02 7.06470e-01 8.34542e-01
1.00000e+02 1.75659e+02 2.21792e+02
1.60000e+02 2.03145e+01 2.47429e+01
2.80000e+02 2.48681e+00 3.01421e+00
3.80000e+02 6.14659e-01 7.22003e-01
1.20000e+02 5.26044e+01 6.81541e+01
1.60000e+02 2.93623e+01 3.63963e+01
2.60000e+02 6.89934e+00 8.17433e+00
3.80000e+02 1.48599e+00 1.78324e+00
8.00000e+01 2.03645e+02 2.60289e+02
1.60000e+02 3.87875e+01 4.82343e+01
2.80000e+02 4.27837e+00 5.15897e+00
3.80000e+02 1.33750e+00 1.58911e+00
1.40000e+02 5.45259e+01 6.92507e+01
1.60000e+02 1.70016e+01 2.12533e+01
2.60000e+02 5.71074e+00 6.79336e+00
3.60000e+02 1.49955e+00 1.79086e+00
8.00000e+01 1.97433e+02 2.58116e+02
1.60000e+02 1.68702e+01 2.11712e+01
2.60000e+02 4.06929e+00 4.82049e+00
3.80000e+02 5.60975e-01 6.58493e-01
8.00000e+01 4.88926e+02 6.28229e+02
1.40000e+02 2.45801e+01 2.98133e+01
2.40000e+02 4.55115e+00 5.53223e+00
3.60000e+02 6.97976e-01 8.29881e-01
1.20000e+02 1.05389e+02 1.33227e+02
1.60000e+02 2.87037e+01 3.61531e+01
2.80000e+02 2.17350e+00 2.56655e+00
3.80000e+02 1.19400e+00 1.44017e+00
1.00000e+02 8.28423e+01 1.04909e+02
1.80000e+02 1.32254e+01 1.63652e+01
3.00000e+02 3.24653e+00 3.88193e+00
3.80000e+02 1.45088e+00 1.69858e+00
6.00000e+01 1.36631e+03 1.81306e+03
1.60000e+02 4.31306e+01 5.31732e+01
2.60000e+02 2.84199e+00 3.49661e+00
3.60000e+02 1.30558e+00 1.54279e+00
8.00000e+01 1.48771e+02 1.96363e+02
2.00000e+02 9.07980e+00 1.09901e+01
3.00000e+02 2.28401e+00 2.75982e+00
3.80000e+02 6.28869e-01 7.30018e-01
8.00000e+01 1.64790e+02 2.16030e+02
1.80000e+02 1.11996e+01 1.40196e+01
2.80000e+02 2.15734e+00 2.57476e+00
3.80000e+02 6.11415e-01 7.33000e-01
8.00000e+01 3.86579e+02 4.97117e+02
2.00000e+02 7.67586e+00 9.32029e+00
3.00000e+02 2.73496e+00 3.30271e+00
3.80000e+02 1.01357e+00 1.22376e+00
8.00000e+01 1.50477e+02 1.94657e+02
1.60000e+02 1.67581e+01 2.12122e+01
2.60000e+02 6.92965e+00 8.46919e+00
3.40000e+02 1.37096e+00 1.65158e+00
1.40000e+02 3.86772e+01 4.78465e+01
1.60000e+02 3.43886e+01 4.30366e+01
2.60000e+02 3.96220e+00 4.89866e+00
3.60000e+02 1.69229e+00 2.02822e+00
8.00000e+01 3.14228e+02 4.05728e+02
2.20000e+02 6.29062e+00 7.74825e+00
3.00000e+02 3.92972e+00 4.62883e+00
4.00000e+02 6.86651e-01 8.26765e-01
6.00000e+01 1.05678e+03 1.33079e+03
2.20000e+02 1.34291e+01 1.61722e+01
3.00000e+02 3.77295e+00 4.60135e+00
3.80000e+02 8.59238e-01 1.03251e+00
6.00000e+01 3.54004e+02 4.78848e+02
2.20000e+02 7.56510e+00 9.47639e+00
3.20000e+02 1.47438e+00 1.76385e+00
4.00000e+02 1.19473e+00 1.41279e+00
6.00000e+01 6.59840e+02 8.71172e+02
2.20000e+02 4.80489e+00 5.91417e+00
3.00000e+02 3.64208e+00 4.32012e+00
4.00000e+02 1.19284e+00 1.39095e+00
1.40000e+02 6.60910e+01 8.44575e+01
1.60000e+02 2.00253e+01 2.42867e+01
2.60000e+02 2.83806e+00 3.52784e+00
3.80000e+02 1.48487e+00 1.76872e+00
6.00000e+01 6.48473e+02 8.60121e+02
2.20000e+02 1.31081e+01 1.58280e+01
3.20000e+02 1.76804e+00 2.08963e+00
4.00000e+02 1.06615e+00 1.28035e+00
