masses      stau_mix      LO_data      NLO_data      NLO_err      Alpha_err
2.93730e+03 1.39173e-01 8.77626e-08 9.68558e-08 6.46496e-08 -6.16911e-09
3.11630e+03 1.39173e-01 3.77245e-08 4.25311e-08 2.39137e-08 -3.70538e-09
1.55610e+03 1.39173e-01 1.34655e-04 1.53762e-04 1.77628e-05 -1.59237e-06
2.89730e+03 1.39173e-01 1.11449e-07 1.19879e-07 7.43969e-08 -4.08573e-09
2.25540e+03 1.39173e-01 3.06559e-06 3.43685e-06 9.05008e-07 -7.90855e-08
3.11060e+03 1.39173e-01 3.79194e-08 4.28122e-08 2.63117e-08 -3.57984e-09
2.02470e+03 1.39173e-01 1.05557e-05 1.22589e-05 2.42222e-06 1.68136e-07
3.06420e+03 1.39173e-01 4.64776e-08 5.25377e-08 3.22132e-08 -4.03050e-09
2.15410e+03 1.39173e-01 5.55426e-06 5.87830e-06 1.33926e-06 -1.05044e-07
3.09260e+03 1.39173e-01 4.07809e-08 4.51733e-08 2.73304e-08 -3.95248e-09
2.10800e+03 1.39173e-01 7.03426e-06 7.50500e-06 1.71137e-06 -1.76968e-07
1.95750e+03 1.39173e-01 1.50978e-05 1.63355e-05 3.10470e-06 1.07962e-07
2.13540e+03 1.39173e-01 5.94648e-06 6.42367e-06 1.52923e-06 -3.11998e-07
3.03600e+03 1.39173e-01 5.45685e-08 6.05757e-08 3.88942e-08 -7.40124e-10
3.34650e+03 1.39173e-01 1.24141e-08 1.39303e-08 8.76741e-09 -1.78885e-09
2.76790e+03 1.39173e-01 2.16223e-07 2.31565e-07 1.29094e-07 -8.86003e-09
6.88720e+02 1.39173e-01 3.42812e-02 3.79989e-02 1.54490e-03 1.43833e-03
3.42580e+03 1.39173e-01 8.91254e-09 9.88139e-09 6.68167e-09 -9.71891e-10
6.97840e+02 1.39173e-01 3.10297e-02 3.65652e-02 1.67083e-03 3.08012e-04
2.78400e+03 1.39173e-01 1.97859e-07 2.16978e-07 1.18603e-07 -1.21201e-08
3.13800e+03 1.39173e-01 3.38042e-08 3.70047e-08 2.23982e-08 -2.47676e-09
3.07320e+03 1.39173e-01 4.56929e-08 4.80977e-08 2.97268e-08 -2.15319e-09
3.08980e+03 1.39173e-01 4.22522e-08 4.75140e-08 2.80132e-08 -2.39643e-09
2.72150e+03 1.39173e-01 2.74846e-07 3.03926e-07 1.46282e-07 -1.34802e-08
2.98470e+03 1.39173e-01 6.96122e-08 7.82333e-08 5.15175e-08 -6.35069e-09
2.48430e+03 1.39173e-01 9.27850e-07 1.01458e-06 3.75197e-07 -3.39868e-08
2.25080e+03 1.39173e-01 3.11572e-06 3.50242e-06 9.94441e-07 -4.68302e-08
3.22880e+03 1.39173e-01 2.16747e-08 2.45130e-08 1.61341e-08 -1.39501e-09
7.10740e+02 1.39173e-01 2.94833e-02 3.25039e-02 1.82115e-03 -8.30551e-04
2.41600e+03 1.39173e-01 1.33688e-06 1.41876e-06 5.01101e-07 4.99349e-09
1.26220e+03 1.39173e-01 7.28904e-04 8.22372e-04 6.89558e-05 -3.40829e-06
2.07910e+03 1.39173e-01 7.65906e-06 8.45312e-06 1.94393e-06 -1.29054e-07
1.87820e+03 1.39173e-01 2.42705e-05 2.55894e-05 4.65858e-06 -4.85969e-07
2.54880e+03 1.39173e-01 6.77922e-07 7.32948e-07 2.96679e-07 -2.88317e-08
1.71680e+03 1.39173e-01 5.53090e-05 6.20672e-05 8.60063e-06 -1.38871e-06
1.72200e+03 1.39173e-01 5.32506e-05 6.16472e-05 8.60630e-06 -4.91916e-07
3.30550e+03 1.39173e-01 1.52893e-08 1.67847e-08 1.05856e-08 -1.90401e-09
3.40540e+03 1.39173e-01 9.50432e-09 1.05334e-08 7.83412e-09 -1.39013e-09
3.19790e+03 1.39173e-01 2.49691e-08 2.85629e-08 1.68793e-08 -1.82484e-09
1.98340e+03 1.39173e-01 1.34691e-05 1.48271e-05 3.00225e-06 2.27682e-08
1.86030e+03 1.39173e-01 2.55743e-05 2.73435e-05 4.68515e-06 -6.66350e-07
2.49950e+03 1.39173e-01 8.69533e-07 9.37789e-07 3.46061e-07 -3.26546e-08
3.37590e+03 1.39173e-01 1.06027e-08 1.20439e-08 8.10783e-09 -1.44516e-09
2.49570e+03 1.39173e-01 8.86428e-07 9.51259e-07 3.61184e-07 -3.11039e-08
2.30940e+03 1.39173e-01 2.24248e-06 2.65690e-06 7.76680e-07 -7.26367e-08
